Year,Region,Soil_pH,Soil_Moisture(%),Nitrogen(N),Phosphorus(P),Potassium(K),Rainfall(mm),Temperature(°C),Humidity(%),Crop,Yield(kg/ha),Market_Price(₹/quintal)
2017,Bihar,8.43,33.8,183,36,135,528.4,25.8,85.8,Pulses,2611.1,5898.0
2012,UP,7.86,6.7,167,147,299,206.6,16.1,61.9,Maize,1626.2,1725.0
2015,Maharashtra,7.94,16.8,143,127,184,1104.4,19.0,64.9,Wheat,3371.7,4626.0
2014,Bihar,5.5,8.2,111,44,63,263.4,15.5,35.4,Maize,1569.8,1956.0
2011,Punjab,4.66,15.1,243,107,128,892.4,31.3,73.1,Cotton,3430.1,2691.0
2017,Punjab,5.71,10.1,384,48,166,1450.8,23.3,54.0,Wheat,5601.5,2543.0
2021,Punjab,6.65,24.4,252,82,56,342.3,28.6,88.6,Sugarcane,3603.8,5735.0
2023,Punjab,5.81,16.6,75,133,186,1362.8,27.3,79.4,Soybean,4082.5,5837.0
2015,UP,7.81,11.9,222,68,164,1488.9,17.0,61.3,Soybean,1783.2,1915.0
2011,Punjab,5.59,13.0,349,100,225,280.0,25.1,37.4,Maize,1218.7,1110.0
2021,Bihar,8.36,15.8,182,103,121,1347.8,20.5,81.6,Pulses,1554.0,4600.0
2014,Tamil Nadu,6.33,12.8,375,124,291,870.9,25.5,78.0,Groundnut,3992.7,3090.0
2010,Punjab,7.87,18.6,167,137,108,1378.5,20.1,41.1,Groundnut,1475.1,1444.0
2021,UP,5.28,6.0,373,105,264,942.7,36.0,47.7,Sugarcane,2880.0,4419.0
2019,UP,6.15,13.4,324,82,270,1060.7,19.4,77.6,Wheat,3750.5,3726.0
2015,Punjab,7.3,17.3,261,123,131,906.9,39.0,41.1,Sugarcane,2943.3,5903.0
2022,Tamil Nadu,5.05,23.1,274,68,272,1323.8,25.4,85.1,Sugarcane,1818.4,2137.0
2021,Punjab,5.03,13.1,69,90,271,1154.1,36.2,55.5,Pulses,2369.0,3020.0
2018,UP,8.38,9.0,162,20,165,877.6,30.7,35.2,Groundnut,5641.6,3713.0
2010,Maharashtra,7.36,7.3,189,142,216,1328.6,33.4,78.9,Wheat,4379.9,4958.0
2020,Bihar,4.66,33.2,96,81,276,518.9,34.2,52.4,Cotton,3480.2,3744.0
2020,UP,6.1,17.5,50,51,195,404.5,27.6,61.6,Pulses,1063.6,4065.0
2024,Punjab,6.23,22.4,139,48,236,408.5,28.6,36.7,Sugarcane,5962.1,2131.0
2019,Bihar,7.48,32.6,191,68,283,634.2,27.8,30.2,Sugarcane,4357.3,5235.0
2021,Punjab,5.5,7.5,369,49,152,510.3,29.7,68.3,Cotton,2584.6,3143.0
2021,Punjab,5.24,31.3,87,38,66,1409.1,15.7,60.9,Sugarcane,5396.3,1705.0
2024,Maharashtra,4.82,21.5,342,37,63,337.6,24.9,65.6,Sugarcane,2292.2,4321.0
2023,Bihar,6.21,9.9,188,20,208,1108.7,30.2,77.6,Sugarcane,3720.1,2080.0
2023,Bihar,7.25,17.3,382,97,201,446.0,29.9,68.8,Soybean,4180.4,1488.0
2024,Maharashtra,4.73,28.3,308,134,276,1346.1,34.8,40.5,Pulses,2105.3,5310.0
2023,UP,8.16,19.4,210,132,157,1449.7,31.4,51.6,Rice,5892.0,3301.0
2012,Punjab,6.27,34.6,227,133,237,805.1,39.8,84.4,Pulses,4741.0,4746.0
2021,Tamil Nadu,5.46,16.3,59,82,94,1342.8,22.1,76.2,Cotton,3789.1,2453.0
2016,Punjab,4.88,27.5,310,148,147,206.7,24.0,63.4,Sugarcane,1903.0,4935.0
2013,Punjab,5.23,16.8,187,27,180,1265.9,24.6,45.3,Pulses,1269.3,1560.0
2018,UP,8.24,29.9,221,74,86,497.2,26.6,48.1,Soybean,2600.3,2780.0
2012,Punjab,7.05,22.1,62,122,220,1381.3,35.9,73.9,Groundnut,4765.9,5890.0
2014,Maharashtra,6.57,6.9,217,51,217,201.5,20.9,81.1,Cotton,2346.7,4970.0
2012,Maharashtra,7.13,6.1,179,29,267,923.0,34.4,70.3,Maize,3697.8,3486.0
2016,Bihar,6.24,9.0,133,129,232,1183.6,25.1,78.6,Pulses,4639.7,2699.0
2014,Tamil Nadu,7.42,5.4,370,143,264,536.3,30.0,76.0,Maize,1539.7,5361.0
2018,Punjab,4.69,7.3,368,106,157,451.1,30.8,39.0,Sugarcane,4426.5,3724.0
2016,Punjab,6.76,25.8,150,74,88,309.3,24.3,55.4,Soybean,1459.4,4792.0
2011,UP,5.13,21.0,378,51,64,624.4,27.8,39.2,Soybean,5825.6,4771.0
2013,Maharashtra,4.98,27.5,322,112,169,927.8,25.3,44.1,Pulses,3442.0,1090.0
2018,Tamil Nadu,5.87,32.4,314,27,290,350.6,16.7,82.2,Cotton,1753.4,1631.0
2021,Bihar,4.87,22.6,87,84,53,689.7,25.9,58.4,Cotton,2711.9,4298.0
2023,Maharashtra,4.88,26.8,143,76,142,211.8,17.4,62.1,Soybean,3067.1,1808.0
2011,Bihar,5.75,27.7,144,86,263,1264.3,25.1,40.7,Cotton,4790.9,2277.0
2019,UP,8.42,16.3,354,91,202,367.0,29.8,48.7,Soybean,4717.1,5733.0
2018,UP,5.2,12.2,118,73,190,568.3,29.5,43.8,Pulses,4059.7,3801.0
2019,Punjab,4.57,11.2,367,86,259,224.0,31.6,42.4,Rice,1529.7,4754.0
2014,Tamil Nadu,7.55,12.5,285,70,210,761.9,17.4,68.3,Soybean,1757.8,3790.0
2011,Bihar,7.73,13.2,383,116,65,1292.2,31.3,45.4,Maize,1468.8,3763.0
2013,Maharashtra,5.89,11.2,186,111,286,709.8,22.8,67.9,Cotton,3885.9,1471.0
2021,UP,6.36,31.3,125,27,219,433.3,25.0,33.5,Soybean,5385.7,2718.0
2024,Punjab,7.1,27.7,84,54,157,1179.8,36.4,38.5,Soybean,3169.0,2412.0
2021,Punjab,4.69,6.4,50,115,175,1225.4,15.2,46.5,Pulses,1804.2,2954.0
2016,Bihar,8.3,13.1,345,107,243,425.9,29.7,65.8,Cotton,3790.2,4992.0
2021,UP,8.05,5.7,369,97,104,1202.1,30.0,70.6,Rice,5058.8,2860.0
2022,Tamil Nadu,5.54,19.9,109,51,276,1431.5,24.9,56.6,Pulses,4708.6,3258.0
2017,UP,4.56,19.3,369,139,219,416.3,20.9,56.7,Rice,5407.3,2987.0
2024,Bihar,8.23,29.9,398,65,83,1202.3,20.9,73.5,Groundnut,2389.5,1467.0
2012,Bihar,6.5,14.2,377,74,207,1121.1,37.1,30.9,Pulses,1969.8,3205.0
2023,UP,6.66,29.5,316,26,296,815.6,26.1,50.5,Cotton,5399.1,1978.0
2010,Bihar,7.24,34.0,278,93,62,275.3,23.3,79.1,Wheat,4287.8,1934.0
2013,UP,6.96,7.7,319,26,190,297.1,26.2,66.2,Cotton,2554.6,1470.0
2011,Maharashtra,8.28,28.8,365,104,67,1308.1,31.7,50.2,Cotton,4711.7,2783.0
2017,UP,8.28,22.7,335,131,209,1487.2,18.6,84.3,Rice,5075.6,4787.0
2013,UP,7.97,19.4,340,144,145,1078.9,26.2,76.4,Rice,4074.9,2382.0
2011,Bihar,7.05,17.6,262,55,276,779.7,29.7,45.9,Cotton,4439.4,2562.0
2023,Bihar,7.7,28.5,214,48,172,1041.8,38.7,68.7,Cotton,2876.3,4213.0
2015,Punjab,7.21,24.2,54,101,88,972.7,21.3,65.7,Cotton,3693.5,1979.0
2015,Punjab,6.79,29.2,388,21,95,698.7,24.0,54.1,Rice,3620.8,5485.0
2019,Maharashtra,5.01,32.1,127,148,293,285.3,24.5,52.0,Cotton,5240.2,3601.0
2013,Punjab,7.74,23.5,111,66,78,1268.0,30.1,50.6,Cotton,5199.8,3238.0
2015,UP,7.78,34.4,181,30,239,683.4,23.9,67.0,Groundnut,5163.4,3789.0
2022,Bihar,7.0,23.2,138,149,290,1264.4,28.3,56.5,Sugarcane,1055.2,1830.0
2024,Punjab,7.78,24.1,286,138,270,528.3,34.5,79.9,Wheat,4747.7,4067.0
2011,Punjab,7.11,21.6,91,39,111,201.3,32.6,70.2,Maize,4793.4,2816.0
2019,Maharashtra,5.33,7.7,138,24,294,406.6,26.2,34.2,Wheat,4391.9,5486.0
2021,Maharashtra,5.6,26.8,345,56,285,809.1,36.6,68.4,Sugarcane,4781.3,1844.0
2011,UP,5.36,21.4,377,72,234,1427.6,29.0,46.3,Maize,5209.9,3535.0
2019,Bihar,6.01,18.5,344,118,65,332.9,28.5,65.6,Pulses,3351.6,3991.0
2023,Maharashtra,4.66,32.3,153,105,233,1310.5,15.9,70.8,Cotton,3510.3,1167.0
2013,Punjab,6.97,13.9,63,127,285,885.1,39.7,43.8,Sugarcane,1623.6,2818.0
2023,Bihar,5.85,20.7,337,43,288,1273.7,18.1,57.4,Groundnut,2926.9,4663.0
2024,Bihar,7.12,25.9,228,100,170,587.9,20.8,41.4,Pulses,4216.8,5102.0
2024,Punjab,6.04,28.9,174,139,59,1291.9,16.3,33.1,Cotton,4902.0,2566.0
2017,Maharashtra,7.23,18.8,72,78,207,1204.7,31.0,52.7,Rice,2086.0,4993.0
2023,Punjab,5.86,30.3,112,147,202,499.1,20.6,51.8,Soybean,1689.1,5839.0
2016,Bihar,5.54,28.1,192,133,152,370.7,19.5,89.7,Sugarcane,4315.2,5284.0
2021,Tamil Nadu,6.48,7.0,202,134,133,1328.5,17.2,56.8,Rice,1009.4,1588.0
2018,Tamil Nadu,7.27,6.4,194,33,182,1452.2,17.6,50.0,Sugarcane,1891.9,4699.0
2023,UP,5.89,23.6,274,28,114,240.7,29.6,64.8,Groundnut,1145.4,2598.0
2017,Punjab,8.25,15.4,358,59,271,1150.7,32.2,35.3,Sugarcane,1834.4,5942.0
2014,Punjab,4.66,11.3,153,44,226,1382.4,24.9,87.7,Rice,1906.6,3427.0
2022,UP,6.17,22.4,153,122,52,1314.6,27.0,68.1,Groundnut,2938.4,1612.0
2011,UP,8.37,15.2,88,41,222,1453.9,32.1,75.3,Maize,3011.6,4626.0
2024,UP,6.69,21.1,247,23,191,1188.1,15.4,40.2,Wheat,5371.3,2615.0
2014,Bihar,6.19,18.8,183,48,169,775.0,23.1,54.6,Cotton,3550.5,5985.0
2017,Punjab,6.77,22.5,116,128,207,605.5,39.3,55.4,Sugarcane,4617.0,5899.0
2019,Bihar,6.8,17.0,228,117,291,617.0,29.5,79.3,Cotton,1520.7,4281.0
2018,UP,7.43,25.9,91,56,117,1141.7,21.4,30.1,Soybean,2127.2,1649.0
2021,Punjab,5.01,10.4,64,94,195,1169.6,28.0,48.1,Rice,4514.7,4434.0
2021,Bihar,5.5,25.9,160,89,239,460.5,23.6,88.9,Cotton,1264.0,1465.0
2021,Bihar,6.82,17.3,206,147,86,1328.6,28.3,58.5,Rice,3433.0,1147.0
2022,UP,7.97,31.2,338,104,202,1129.4,18.1,53.0,Cotton,3996.8,5115.0
2018,Punjab,6.75,20.5,280,61,225,931.6,18.3,37.2,Wheat,4010.7,2049.0
2022,UP,5.45,34.2,206,119,242,813.0,18.6,88.4,Wheat,1114.7,2895.0
2024,Punjab,7.22,23.1,87,60,230,906.2,38.5,31.2,Groundnut,2610.5,5867.0
2022,Tamil Nadu,7.46,11.7,146,53,287,407.0,33.3,74.2,Wheat,4182.5,2684.0
2010,Maharashtra,5.45,29.7,338,36,256,464.8,19.1,76.1,Groundnut,1745.0,2482.0
2018,Maharashtra,6.01,15.4,303,141,122,318.5,19.7,44.6,Wheat,4477.1,5591.0
2016,Maharashtra,6.64,15.4,245,95,192,399.8,33.3,70.3,Wheat,4729.6,1554.0
2018,UP,6.49,6.0,135,106,98,789.8,18.9,35.6,Wheat,5909.8,4798.0
2017,Tamil Nadu,6.06,21.5,371,136,170,889.5,20.9,45.4,Rice,2049.2,5940.0
2010,Punjab,5.69,21.0,59,125,137,223.2,39.1,77.3,Sugarcane,5125.7,5506.0
2021,Bihar,4.9,15.7,54,105,245,1235.8,21.4,81.9,Groundnut,3601.5,4258.0
2017,Punjab,4.71,31.8,172,46,189,582.4,31.5,66.5,Cotton,2867.3,2570.0
2017,Bihar,8.33,8.9,379,76,236,1385.4,39.5,60.4,Wheat,1611.9,2272.0
2024,Punjab,7.89,14.9,167,50,299,1457.8,24.4,39.6,Rice,4677.5,5096.0
2020,Tamil Nadu,5.92,14.6,343,117,86,441.1,15.4,33.8,Rice,2179.3,5399.0
2012,Bihar,8.33,7.8,208,31,110,800.7,21.1,37.1,Rice,2857.1,3627.0
2010,UP,7.21,19.4,352,72,278,201.6,35.8,43.6,Groundnut,1312.7,2222.0
2017,Punjab,6.43,25.6,277,141,220,977.8,36.6,50.5,Sugarcane,5006.8,1565.0
2012,Punjab,6.47,20.3,265,65,173,989.5,34.2,52.9,Groundnut,4832.9,1436.0
2012,Bihar,4.83,9.7,233,83,247,521.8,17.8,50.8,Cotton,4668.1,4595.0
2010,UP,4.87,16.3,64,149,88,925.9,34.9,44.3,Sugarcane,2497.2,3101.0
2020,UP,6.91,5.1,206,73,233,493.2,38.0,60.6,Maize,1867.4,5527.0
2014,Tamil Nadu,6.71,31.0,185,126,112,409.1,30.0,79.5,Pulses,4187.8,4698.0
2019,UP,5.35,7.5,310,70,95,1047.0,38.5,46.8,Rice,3480.8,1956.0
2016,UP,8.28,22.9,206,55,137,623.7,35.7,86.5,Groundnut,1891.3,4069.0
2019,UP,7.63,34.6,96,134,60,967.3,31.7,82.4,Maize,4429.6,3178.0
2018,Maharashtra,4.95,21.1,373,45,111,763.2,29.4,39.7,Soybean,5955.6,3886.0
2021,Tamil Nadu,8.22,32.7,381,48,126,1479.7,23.7,77.2,Groundnut,4736.1,4690.0
2016,Punjab,8.4,12.1,222,30,275,394.5,19.0,64.5,Wheat,4699.9,5031.0
2018,Bihar,8.48,27.8,179,59,202,804.0,30.1,64.0,Pulses,5751.6,5219.0
2017,Punjab,4.72,20.9,144,30,248,1084.6,23.0,53.5,Wheat,2014.7,2270.0
2021,Tamil Nadu,7.45,26.6,164,132,101,714.2,36.7,60.1,Sugarcane,3827.7,1156.0
2011,Bihar,6.68,6.9,292,58,53,1467.1,39.8,53.8,Pulses,5898.2,4696.0
2010,Tamil Nadu,7.32,9.4,341,73,108,1138.5,33.8,62.4,Groundnut,1826.5,1532.0
2016,UP,8.37,9.0,331,117,121,1054.1,17.3,67.7,Cotton,4501.3,2575.0
2016,Bihar,7.25,25.6,348,74,197,1184.2,22.2,70.5,Maize,3929.1,1019.0
2023,UP,7.85,30.3,332,130,142,1438.4,17.7,61.9,Cotton,3932.4,4408.0
2017,Punjab,7.97,27.5,118,88,112,1380.2,31.3,73.3,Groundnut,4488.4,1836.0
2014,Punjab,7.85,5.9,197,75,103,1141.6,34.1,38.5,Sugarcane,5648.1,4276.0
2012,Bihar,6.2,31.0,60,52,166,1173.9,38.1,42.7,Wheat,4912.9,5959.0
2021,Bihar,5.39,15.6,303,55,292,389.7,26.0,79.1,Pulses,1280.7,1363.0
2017,Tamil Nadu,6.09,16.9,379,100,286,333.6,37.5,49.4,Cotton,5263.6,1385.0
2015,Tamil Nadu,8.07,8.1,87,128,159,942.2,36.9,31.4,Groundnut,2127.7,2702.0
2020,UP,5.09,27.1,183,92,123,223.9,22.9,39.2,Cotton,2884.6,5332.0
2012,Bihar,6.55,10.5,249,59,156,827.1,36.7,43.4,Groundnut,3308.7,2078.0
2010,Punjab,5.43,21.9,72,36,275,473.5,24.4,87.4,Wheat,3404.5,2802.0
2012,Tamil Nadu,6.83,30.2,352,148,106,649.8,22.4,64.4,Pulses,3175.9,1343.0
2014,Tamil Nadu,7.95,7.7,395,80,267,1208.5,31.2,86.0,Maize,5686.8,4816.0
2024,Punjab,8.02,21.1,351,123,218,1423.6,23.2,64.5,Wheat,4530.1,3042.0
2023,Tamil Nadu,5.45,12.0,267,61,290,294.1,30.8,58.8,Cotton,4155.9,4796.0
2012,UP,8.13,15.3,190,44,299,894.5,30.2,48.8,Maize,1249.2,5518.0
2010,Bihar,6.87,19.2,153,58,52,1347.3,29.1,66.4,Groundnut,5519.6,2164.0
2014,Punjab,5.9,15.7,259,54,169,307.3,24.5,38.4,Maize,5547.0,5037.0
2019,Bihar,7.33,24.5,160,127,55,1271.9,28.7,83.9,Groundnut,4901.1,1295.0
2016,Tamil Nadu,6.43,19.4,153,121,54,665.1,29.9,79.8,Wheat,1035.1,5494.0
2024,Tamil Nadu,6.01,22.5,365,117,54,618.7,28.6,49.1,Cotton,1286.4,4254.0
2023,Punjab,7.32,27.1,220,31,103,1470.7,26.1,87.2,Sugarcane,2126.1,5371.0
2016,UP,5.49,21.7,373,38,96,461.1,15.4,79.5,Cotton,1656.7,1001.0
2020,Maharashtra,5.82,22.6,182,120,264,1101.2,29.7,70.0,Groundnut,2994.2,1845.0
2018,Punjab,6.24,21.9,342,63,226,1267.9,19.2,37.3,Rice,5613.1,2949.0
2024,Maharashtra,5.51,16.4,377,68,58,253.5,31.1,58.7,Pulses,3360.3,2898.0
2024,Maharashtra,6.12,15.1,176,36,148,1071.5,34.0,60.4,Soybean,1067.0,2134.0
2019,UP,6.79,32.0,155,93,69,1437.0,27.5,44.0,Sugarcane,2413.7,2908.0
2019,Maharashtra,7.46,23.2,141,76,171,361.5,28.6,34.8,Maize,1223.0,1644.0
2021,Maharashtra,7.57,12.3,336,74,290,1365.1,38.8,76.6,Sugarcane,1181.4,3064.0
2022,UP,7.79,19.9,100,66,110,973.2,36.2,37.3,Pulses,2378.6,5012.0
2012,Maharashtra,7.48,14.9,78,31,172,1001.6,37.9,65.7,Maize,2378.1,3395.0
2024,Maharashtra,7.22,33.0,345,81,283,996.8,35.3,86.2,Pulses,4935.6,1090.0
2016,Maharashtra,5.45,5.2,346,99,212,588.5,17.7,82.6,Maize,5874.2,3107.0
2010,Punjab,6.1,11.8,263,102,227,1415.8,18.7,46.7,Sugarcane,2856.0,1136.0
2013,Punjab,6.41,16.0,316,27,131,1431.6,28.2,81.1,Maize,3144.4,5831.0
2022,Punjab,4.83,19.6,306,100,111,1012.9,21.2,30.0,Maize,5223.9,1637.0
2013,UP,6.61,30.5,351,137,194,1218.4,26.9,31.1,Rice,2340.7,4538.0
2023,Tamil Nadu,6.25,7.6,150,44,265,995.9,24.9,66.2,Cotton,1781.9,5864.0
